,ギルド名,ギルドマスター,ギルドレベル,GHレベル
1,バンディッツ,ブレイブスカイ,200,5
2,ANGELEYES,エルフィアナ,200,4
3,Charis,てん助,200,4
4,Alstroemerieae,ぶりえんじぇる,200,4
5,†翼†,AGIRU,200,3
6,レッドリンクス,ソルディエンヌ,200,3
7,Ｂeatnuts,体脂肪率１００％,200,3
8,光と影に彷徨う戦友者,ホワイトナイト！,200,3
9,わくわく★てっかてっか,マーキψ,200,3
10,Solidarity,ｎational,200,3
11,おもひでぽろぽろ,NirvanaP,200,3
12,神様家族集合体,渇望のレガリア,200,3
13,Re：Birth,DancingBravo,200,3
14,炎団〈R〉,何松氏,200,2
15,天聖界,毒おじや,200,2
16,△おむすびコロリン△,お嫁においでよ〆,200,2
17,プリンセスメーカー,姫乃凪咲,200,2
18,Invisible,ぽようぃず,200,2
19,スターワールド,ペったー,200,2
20,Campanula,クレリューフ,200,2
21,最弱軍団,叢雲のジュウザ,200,2
22,Ⅹ_ⅹ_飛旋_ⅹ_Ⅹ,光撃者まもちゃん,200,2
23,∬_Rosenkreuzer_∬,Mr_ポポ,200,2
24,運命の人～destiｎy～,メーメーＤⅩ,200,2
25,匿名戦隊☆ﾔｻｸﾞﾚﾝｼﾞｬｰ,はみみん,200,2
26,さくら茶屋～sakura～,↑魔法の筒↓,200,2
27,～奇跡の価値は～,小袖_K,200,2
28,♪MA・TTA・RI♪,ポレポレ,200,2
29,жTear†Memoryж,ＬＡ：ＮＡ,200,2
30,☆天下無双☆,Ψmo☆moΨ,200,2
31,Sanctus,Parca_Luna,200,2
32,NEO無課金同盟,ヤシャマルJr,200,2
33,－ANTHEM－,IRONHIDE．,200,2
34,ファーストKiss☆物語,秋月総合病院,200,2
35,あんよはじょうず,Flower_Girl,200,2
36,Gravity,Astronomer,200,2
37,Mission：BigmanXD,ビッグマシーン,200,2
38,わくてか★2nd,神龍GOD,200,2
39,リーリエ,Mｉnelva,200,2
40,TeddyRabbit,ｂｓｋいるよ,200,2
